# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
ESO359-2_R_450px                                  ,450.00000000,450.00000000,3.65122489,0.77781746,0.00291498,0.27450499,196.50053876,304.50056435,209.46501571,269.01557879,214.30740011,263.40730577,222.21128740,231.34121010,45.12823524,12.70249419,111.22299475,0.07399685,152.99999267,2.29597935,174.10368889,197.99999902,305.99999961,0.06098967,130.70890593,5.56744731,0.35686263,106.54485621,19809.72656250,36.34232676,37.27361833,37.89384047,38.56380389,40.24649043,46.97006161,57.11093683,71.26448987,96.71800888,77.88421002,0.28147163,0.38077933,0.30293919,0.00001385,1.11558865,0.38413191,0.85603461,0.32144796,48.50677613,0.05088204,0.48305842,0.71128467,-0.54662850,1.57689196,0.79169302,0.59006329,0.57182271,1.66315743,64.00000000,
ESO359-2_Z_450px                                  ,450.00000000,450.00000000,3.56526109,0.77781746,0.00233645,0.25933850,196.50073084,304.50021796,211.87688314,262.95115212,212.88383218,260.92226203,224.22560155,228.11703304,45.47870693,12.87063369,111.30581128,0.01830746,160.99997198,3.72061829,559.61684907,225.64260708,224.07816843,1.28258463,27.69035696,1.25501082,0.59987311,134.83135975,13325.84960938,39.64277071,43.95360612,44.63857606,45.31887839,47.00017634,50.44377240,59.51551523,73.51908641,99.96687790,81.72011067,0.22340559,0.32775664,0.52363647,0.00001945,0.85910880,0.39373884,0.89126104,0.57787331,54.21302614,0.05178195,0.53739263,0.71282432,-0.60620690,1.60218158,0.37452748,0.52230704,0.77534282,1.92731266,64.00000000,
IC1919_F378_450px                                 ,450.00000000,450.00000000,6.19731905,0.77781746,0.00063070,0.01123908,225.50016608,223.50060892,225.55377522,224.08181471,225.97909728,225.16482948,227.70592690,223.84836903,20.85996964,17.03382343,178.51219720,0.00618614,53.66423174,1.70718453,6.88642592,225.91617616,224.46845553,0.00683292,51.93625538,1.64529130,0.76241386,178.84664956,166.44540405,11.20995038,18.08632628,24.60968163,31.60446122,38.64467883,46.71056495,56.25568671,68.22263666,85.54812059,80.30606989,0.57657814,0.34512077,1.01349892,0.00006752,0.14031015,0.01519614,0.92726437,0.66653114,0.72681050,0.02620207,0.78756530,0.56551426,-0.77864429,1.60877878,0.46525349,0.78274880,0.28784130,3.44217230,0.00000000,
IC1919_F395_450px                                 ,450.00000000,450.00000000,5.26950408,0.77781746,-0.00392330,0.01798470,224.50100282,224.50034684,224.73890969,225.06128917,226.22939920,224.71957755,222.38286241,224.16843367,21.92813887,17.49656940,175.66125061,0.00562844,60.22579290,1.77363832,10.17059239,225.84490744,224.89037113,0.00539562,63.85374066,1.85017052,0.73681150,174.77626063,202.89465332,12.55213121,20.73633558,28.71595826,37.12289520,46.52740891,56.97383263,70.99917709,89.32858639,110.95394881,75.66921285,0.63425845,0.37743390,1.07587860,0.00008863,0.12183144,0.01834673,0.94776794,0.70217433,0.80522547,0.03018318,0.82001126,0.54655241,-0.41890739,1.58216251,0.57920587,0.68347841,-0.88539018,6.70738218,0.00000000,
IC1919_F410_450px                                 ,450.00000000,450.00000000,5.63042557,0.77781746,-0.00434639,0.03976148,224.50098255,223.50086413,225.37231868,224.04053810,226.90206028,224.98779151,227.67781905,231.30353164,25.29470712,20.07767417,168.63254074,0.02740258,50.66323981,1.67461400,5.63209982,225.98782956,224.61048112,0.02728340,51.59654028,1.73497797,0.74893799,174.74141727,670.62451172,10.84120274,17.78122624,24.66017271,31.71959389,39.21481939,47.31741147,56.82825244,69.51684733,85.85859219,84.68262829,0.59212836,0.34033354,1.00479501,0.00005929,0.15338534,0.01876747,0.92762114,0.65106897,1.21031512,0.03055748,0.76810874,0.58390337,-0.86494841,1.58869113,0.41350746,0.76669317,0.84376868,3.94970188,0.00000000,
IC1919_F430_450px                                 ,450.00000000,450.00000000,5.20426847,0.77781746,-0.00719276,0.04145375,225.50027446,223.50122144,225.53428625,224.50117947,226.76540697,225.07487347,224.68937775,228.22742161,26.65896456,20.82227577,171.69836237,0.03095357,53.86353728,1.80056492,6.70044383,226.15630995,224.81105321,0.03745255,49.15631669,1.65106886,0.73292015,175.37966292,871.94384766,11.12588736,18.56318005,25.43679343,32.83804920,40.78364997,49.53558389,60.37111523,75.92640876,99.27945036,73.97642095,0.61174048,0.38637327,0.92426842,0.00004754,0.15916521,0.01616054,0.92281480,0.52036343,1.35250702,0.02285881,0.74226341,0.58982184,-1.02243569,1.58175886,0.36728829,0.73739923,-0.40425778,4.15969915,0.00000000,
IC1919_F515_450px                                 ,450.00000000,450.00000000,4.53935490,0.77781746,0.01173096,0.04303082,224.50113178,223.50133912,225.11702895,224.77137956,226.58290727,225.10241595,223.28491989,225.73814828,27.43131741,21.27829805,172.10404010,0.07878917,50.96906829,1.74748034,5.94331109,225.98520374,224.69049087,0.09828723,45.35998407,1.59167376,0.73459149,174.80647305,2019.14794922,11.01187017,18.29238383,25.13196007,32.42361618,40.17136505,48.74093200,59.76021726,75.04543914,103.00930416,79.72755588,0.61305400,0.40895986,0.67893327,0.00002131,0.16327535,0.01130395,0.88799449,0.40086301,1.77040411,0.01881455,0.57522805,0.65837551,-1.84125229,1.58552923,0.24890827,0.64027272,0.44121389,2.17961214,0.00000000,
IC1919_F660_450px                                 ,450.00000000,450.00000000,4.76809798,0.77781746,0.00244109,0.01575602,225.50029028,223.50125174,225.75386133,224.43155162,226.41679728,225.13418347,225.68624088,226.26277355,28.66226174,22.39088092,172.61990085,0.10616074,45.91962512,1.55406579,4.86499214,225.98273935,224.75184992,0.11681981,44.10013935,1.51537989,0.74148066,174.30410468,2370.33032227,11.35502114,18.67563493,25.92063587,33.51511955,41.67520662,50.99761975,63.37094959,82.02400127,117.71864167,83.50635194,0.64266558,0.45096748,0.35366107,0.00000665,0.17484641,0.02126390,0.83106139,0.22244795,1.15468897,0.01785233,0.40588042,0.72477243,-1.98213139,1.57730479,0.09685681,0.53457545,0.99954548,1.84514503,0.00000000,
IC1919_F861_450px                                 ,450.00000000,450.00000000,4.82723470,0.77781746,0.00796604,0.09016836,225.50038474,223.50120187,225.90996986,224.48770716,226.60626374,225.18273361,227.31487043,224.77792671,28.31900803,22.27633412,172.87619167,0.23904053,46.77977832,1.59769496,4.45765442,226.10715029,224.69239979,0.26518807,44.86218288,1.55738865,0.73972429,174.12851244,5685.23925781,11.52306989,18.94768038,26.35799896,34.18863799,42.59359324,52.43902577,65.71475268,86.07497467,119.27450579,83.37286716,0.65732085,0.44720335,0.63530306,0.00001586,0.19682379,0.02032070,0.75274155,0.39120714,1.28117683,0.02099369,0.58824549,0.67677442,-1.58180874,1.58717868,0.21336141,0.62396969,0.70577942,3.09785998,0.00000000,
IC1919_G_450px                                    ,450.00000000,450.00000000,5.97568797,0.77781746,0.02319010,0.11980349,225.50026037,223.50131784,225.88277914,224.47591157,226.35717920,225.22083099,224.18632909,223.87780396,29.43259546,23.14518771,173.24004849,0.52247405,45.44775624,1.54797508,4.19582860,225.96541365,224.79504437,0.57508083,43.76122920,1.51418657,0.74139351,174.52588564,11176.25878906,11.07089760,18.20013967,25.04069419,32.36391651,40.24044049,49.05384444,60.11986023,75.94137477,104.48503269,83.63587127,0.62040373,0.41439136,0.50493315,0.00001072,0.15398183,0.01547670,0.87675065,0.29257276,1.25182353,0.01690337,0.45830562,0.70487348,-1.95656352,1.57897349,0.12296482,0.59316149,0.20193749,1.94614524,0.00000000,
IC1919_I_450px                                    ,450.00000000,450.00000000,4.01018545,0.77781746,0.02292321,0.17850661,225.50029273,223.50123797,232.10383554,226.75474836,226.43147259,225.17266934,223.12703829,225.32496619,38.24118297,22.61118316,12.94786849,1.53275494,44.20193796,1.17406556,12.08248835,226.01114981,224.76399625,1.19452182,44.59270187,1.53124094,0.73958415,175.28257704,27997.07226562,14.88391506,24.46684686,34.04155291,44.43188766,56.28960908,71.64013241,95.62464230,117.27018997,203.28892573,107.92081154,0.68060963,0.55768549,0.43665801,0.00000638,0.35915937,0.08470774,0.05434497,0.42388256,6.82123195,0.05211785,0.43463219,0.76127575,-1.80288116,1.58298340,0.20804250,0.50790822,0.35530848,2.45628203,0.00000000,
IC1919_R_450px                                    ,450.00000000,450.00000000,3.84371168,0.77781746,0.02505066,0.14627525,225.50028067,223.50122616,225.75199731,224.41908045,226.49527667,225.12497946,226.18677939,224.72699028,29.17838381,22.74684102,173.00655310,0.86176877,49.63479611,1.69809037,5.97783545,226.05885365,224.77069126,1.06079264,44.73456903,1.53468239,0.74002726,175.04265001,21960.06250000,11.30929504,18.67159968,25.89419671,33.46101348,41.55210962,50.87459394,63.06510553,81.10084225,115.22901628,84.89862698,0.63784384,0.44296878,0.33737017,0.00000666,0.18141053,0.02173346,0.85805327,0.22674557,1.12103649,0.02116457,0.41429140,0.72605529,-1.97788813,1.57621274,0.09780158,0.51915763,0.57860633,1.85049386,0.00000000,
IC1919_U_450px                                    ,450.00000000,450.00000000,6.36122207,0.77781746,0.00119797,0.01396835,225.50074258,224.50008502,226.11923498,224.48597162,225.82989611,225.05945764,226.05992755,224.23463006,19.99457398,16.25221593,174.64702571,0.00914030,51.10249565,1.63771299,6.05928123,226.14318260,224.84873709,0.01041013,48.75142750,1.55363967,0.75275553,176.76444574,236.03453064,11.24859728,18.55240091,25.42166728,32.77045448,40.34463367,49.04449408,59.40841605,71.23183097,94.19937996,71.95225865,0.58427399,0.36826227,0.99125780,0.00005917,0.12561940,0.01051088,0.94211501,0.56894333,0.85981096,0.02299348,0.80319124,0.57096595,-0.79676386,1.58080775,0.44386371,0.78764268,-0.48256732,3.43517416,0.00000000,
IC1919_Z_450px                                    ,450.00000000,450.00000000,5.03604851,0.77781746,0.01584868,0.20568223,225.50025776,223.50130376,233.84114205,227.26639828,226.50878673,225.25382414,230.12573304,221.80706647,39.79808081,22.56534864,13.89393412,1.17987570,43.26072488,1.04077663,25.90904768,225.92466418,224.75778377,0.87918193,43.15194240,1.48121599,0.74649233,174.25739094,19299.78906250,15.48760744,25.02246032,34.58396500,45.12078321,57.07563600,72.47685321,95.80336285,113.80556570,205.15652211,112.31668972,0.65783349,0.55563457,0.66630977,0.00001066,0.28046012,0.07210305,0.08789900,0.54118279,8.14776486,0.05522403,0.53894020,0.73671026,-1.77979720,1.59219119,0.28577544,0.56940870,0.09955624,3.39733141,0.00000000,
IC1963_F378_450px                                 ,450.00000000,450.00000000,7.03733024,0.77781746,-0.00023322,0.01003500,224.50051730,225.50130912,224.57062221,226.12797500,224.95343547,226.63636851,221.75199149,226.74962708,36.71613253,12.26218983,172.81326326,0.04532216,37.05622669,1.41784494,7.20344049,224.49048939,226.13923173,0.04724983,47.89386271,1.53650928,0.18650912,172.59900334,296.70321655,10.15200887,16.63397119,23.02633080,30.06235908,38.14319963,48.21518110,61.20060732,78.21679253,106.00264623,85.89816329,0.67230406,0.44389959,0.47593188,0.00003382,0.11351627,0.00518622,0.42840916,0.22399405,0.73409602,0.10007031,0.46075299,0.67299710,-1.63858654,1.59804465,0.37349475,0.64117497,1.08890712,3.01063199,0.00000000,
