# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
ESO3585_U_450px                                   ,450.00000000,450.00000000,6.36122207,0.77781746,0.00029075,0.01275293,213.50017670,227.50058791,217.35696683,229.35799222,223.01163630,228.49839025,221.70934435,223.61323665,30.39305310,23.29113551,11.74294797,0.00251728,98.99999870,1.25364394,22.98643611,217.84774463,228.71756829,0.00821702,50.94072900,0.47997862,0.72556650,11.36646130,130.45317078,19.37829169,28.02577066,34.91369161,41.40757945,48.04977363,54.96948200,62.15530385,69.90313202,81.27548258,86.93755999,0.39693907,0.22826821,1.05911284,0.00009775,0.18778390,0.02602292,0.86021959,0.72043299,4.92393088,0.04361558,0.78579544,0.54148198,-0.35715772,1.63525032,0.73383863,0.76540104,-0.32761622,3.57436898,0.00000000,
ESO3585_Z_450px                                   ,450.00000000,450.00000000,5.03604851,0.77781746,0.00041202,0.19830124,204.50063589,226.50073213,211.54532584,230.80365289,214.06823661,228.61230942,217.73459175,229.17618846,32.84057684,25.91562168,169.61436413,0.29844256,44.40680525,0.49999998,6.41647621,216.65933953,228.54043072,0.28285865,44.69606918,0.53818279,0.78161083,8.31774660,4528.46289062,18.29741833,26.56779292,31.41027252,38.47292156,45.66543839,50.77967149,54.75640808,63.61893498,75.76972084,80.93816247,0.37923092,0.21990806,0.93278388,0.00004379,0.21812400,0.01906907,0.93621210,0.52916227,10.19897659,0.02707845,0.63707751,0.55977330,-0.61919542,1.59370097,0.54780359,0.84111069,-0.42442852,3.41610578,64.00000000,
ESO35863_F378_450px                               ,450.00000000,450.00000000,5.44412153,0.77781746,0.00090901,0.01017226,229.50006094,245.50041287,226.04761348,242.53068086,225.59152555,241.99380618,230.78243246,244.18193800,51.06067172,13.38022560,43.07922508,0.01686455,102.43586033,1.15469338,10.43657775,229.72803292,246.69975170,0.02258747,101.35646385,0.94592903,0.19651870,43.13992920,539.35998535,28.34032044,44.90624422,59.70996711,72.95874241,87.36549052,104.41405153,130.41011211,164.17287980,199.37041858,180.84670391,0.56299468,0.35832080,0.73371973,0.00001886,0.23275815,0.07438531,0.98649880,0.40092607,2.51814181,0.07781431,0.50064952,0.61915720,-1.28311143,1.69168879,0.60354712,0.70250809,0.31827918,3.69084845,0.00000000,
ESO35863_F395_450px                               ,450.00000000,450.00000000,5.07402872,0.77781746,0.00138817,0.01693379,229.50042105,245.50041317,229.99685267,246.13197351,230.48071022,246.52369355,230.71193417,247.05764318,41.66852569,11.33183990,43.89864268,0.02198598,95.73139301,1.12141663,10.37128304,231.10100070,247.66426923,0.02787609,100.07677392,0.94360676,0.19163406,43.40213415,603.32879639,27.55120314,42.26570853,55.48891695,68.94702145,82.01939239,97.29988486,116.99394925,146.11427382,176.42703590,160.93474215,0.53870449,0.33264859,0.78475966,0.00002807,0.26706813,0.05755051,0.98631535,0.45865636,0.49915490,0.06571003,0.56220341,0.58894287,-1.24399422,1.59648106,0.58222383,0.74803681,0.28810471,3.90474897,0.00000000,
ESO35863_F410_450px                               ,450.00000000,450.00000000,4.92500217,0.77781746,0.00502839,0.03758112,229.50015576,245.50035933,227.49149514,243.98353161,227.46662136,243.98524860,234.25461409,249.73708684,45.21763787,11.88215707,43.47178243,0.05713052,109.68341917,1.29259454,9.56151533,230.21383136,247.02952101,0.08260726,104.44633474,1.02385005,0.19303552,43.31799634,2069.43164062,27.60462056,43.86722117,58.65470764,72.65358409,86.98411730,104.51503783,129.70245663,161.83670604,196.33638764,190.68503417,0.56693691,0.35356084,0.74177560,0.00001816,0.20512137,0.07105114,0.98356080,0.38094249,1.31999803,0.08638279,0.46955357,0.61924308,-1.42092391,1.59091392,0.59934544,0.70647832,0.44790898,2.63303150,0.00000000,
ESO35863_F430_450px                               ,450.00000000,450.00000000,3.40005004,0.77781746,0.00618194,0.04070900,229.49970441,245.50041588,227.73936598,244.37311742,227.33549434,244.47607389,227.66567644,243.73022567,47.48021829,12.62823052,43.29922731,0.07026211,109.63861001,1.35025864,9.68785465,229.81135240,246.90194286,0.10369535,103.45011718,1.05613898,0.19500326,43.03227332,2585.39794922,26.81629167,42.91158006,56.94943666,70.74753052,85.32220318,102.76970966,126.90848423,159.05191146,193.19482892,200.91588259,0.56896439,0.35493344,0.73282371,0.00001575,0.17920335,0.07562932,0.98307312,0.36685343,1.04041411,0.09792253,0.41093443,0.63922081,-1.48519088,1.65038855,0.52622786,0.68864350,-0.27999817,3.76710386,0.00000000,
ESO35863_F515_450px                               ,450.00000000,450.00000000,3.32874498,0.77781746,0.00766014,0.04592917,227.50065016,244.49988464,227.22269647,243.91455889,227.32178965,244.64085059,227.22911587,240.72500639,48.60935083,12.99267901,43.30579123,0.15524422,103.27016530,1.35186477,6.74989091,228.84854785,246.04010054,0.19228994,107.35497232,1.18604559,0.19385956,43.05319113,5330.61767578,26.97404633,43.06295168,58.04704900,72.76206366,88.36558049,106.69309126,131.71740263,163.91095751,200.57805768,199.36133720,0.58050419,0.35600029,0.48500383,0.00000862,0.21253019,0.08355512,0.97376140,0.20431144,0.32502265,0.12135441,0.25358022,0.65999121,-1.63627051,1.61188638,0.46720332,0.64987806,0.70331975,2.94911105,0.00000000,
ESO35863_F660_450px                               ,450.00000000,450.00000000,5.72341422,0.77781746,0.00921836,0.01779683,227.50029482,243.50059357,226.03654130,242.45888092,228.08479961,244.65328547,226.76197999,239.72559249,49.89908536,13.47469778,42.64178440,0.23926934,91.83130879,1.31289739,5.75160036,227.97221072,244.73604341,0.26855853,101.46418260,1.29207521,0.19609851,42.74618970,7099.38525391,24.00999379,39.43464352,53.96492045,68.53644186,83.94931391,102.53538599,128.27373594,163.90305712,209.52290267,199.51372249,0.61870913,0.39721435,0.17564630,0.00000251,0.17645464,0.10930684,0.87207616,0.07183360,0.90048498,0.15602522,0.10104431,0.69870614,-1.70042274,1.59317087,0.39868159,0.57059016,0.39054696,1.85230693,0.00000000,
ESO35863_F861_450px                               ,450.00000000,450.00000000,6.03672700,0.77781746,0.02058027,0.09238250,227.49974824,242.50084905,227.86836034,243.59759890,227.64063605,243.69100741,226.12223605,241.22952061,47.91556346,13.26693530,42.94572326,0.54054560,86.62194217,1.36615865,3.14212871,228.05343230,243.90064055,0.58670685,98.23536985,1.34187442,0.19510131,42.92065175,14492.68847656,23.09276508,37.46685898,51.27041167,65.44232788,80.66119088,98.66275321,121.30102325,152.49561805,194.42363372,183.70527435,0.60961008,0.38208443,0.34792356,0.00000637,0.15269358,0.05728655,0.82973172,0.16081292,0.62983342,0.13574085,0.19638637,0.68145129,-1.86915780,1.60390251,0.30895222,0.63643445,0.41292953,1.72397773,0.00000000,
ESO35863_G_450px                                  ,450.00000000,450.00000000,4.15043834,0.77781746,0.04774056,0.14270239,227.50072589,244.50017699,227.46744603,244.33159778,227.35337020,244.97471888,226.81734702,239.77003619,46.87336159,12.69517447,43.38091411,0.84092409,105.44161840,1.36756745,7.59333262,229.17454505,246.35078483,1.05125873,109.30169201,1.19534272,0.19550542,43.05215049,30909.90039062,27.59833118,44.10241496,59.36357382,74.25390097,90.53538066,110.13082804,137.03525477,171.76105637,210.40396740,218.48086188,0.59046233,0.36623559,0.31677629,0.00000462,0.20760183,0.09987741,0.97409448,0.12120216,0.07864889,0.13791541,0.15513205,0.68420622,-1.61793248,1.61418421,0.46455294,0.60879514,-0.38275529,1.82708975,0.00000000,
ESO35863_I_450px                                  ,450.00000000,450.00000000,5.10121090,0.77781746,0.06743239,0.18049063,227.50017482,243.49992633,227.86210588,243.89830393,227.44882080,243.89366755,225.83547961,238.78039377,48.38741912,13.40091825,42.99721596,2.05894081,93.45929782,1.41757782,3.94649174,228.01539944,244.18390773,2.22376876,106.06609845,1.38933451,0.19625656,42.91269677,65052.60156250,24.60554169,39.81666061,54.61455714,69.81422831,86.40472171,105.70587141,131.38235944,165.99945326,209.43861055,207.50644786,0.62004182,0.38451927,0.19404893,0.00000277,0.14518721,0.08056421,0.89122779,0.08244908,0.25938315,0.15498907,0.11650124,0.69352338,-1.83037144,1.59282364,0.31268338,0.57102863,0.07089592,1.38264917,0.00000000,
