# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF
ESO501-35_U_450px                                 ,450,450,4.90754356,0.77781746,0.00018567,0.01241304,229.50026569,229.50012939,230.19147413,229.9037967,229.43598625,230.26052703,230.96362603,229.33731277,14.29386622,10.32741623,26.45921581,0.0022539,53.99992966,4.01680447,8.26211507,229.06243586,229.96757467,0.00119555,87.66389271,4.7542096,0.57764368,28.96655919,55.30567932,4.51442732,7.86453836,11.60544006,15.85648541,20.72521822,26.03999877,32.64204775,40.94932997,48.71302999,37.63179884,0.71657356,0.37114603,0.8482087,0.00022437,0.24587985,0.00635912,0.98903895,0.6151162,2.1270512,0.00909748,0.68412329,0.57505641,0.07000801,1.56949656,0.60320048,0.72389959,0.0453343,4.67193697,32
ESO501-35_Z_450px                                 ,450,450,3.10769628,0.77781746,-0.00030867,0.138568,229.50018933,229.50098205,256.15175961,223.45373696,287.44451593,218.11172426,236.64808244,227.789335,39.82832885,12.36351183,167.84083761,0.65042335,59.60230493,0.49999102,41.27484858,229.08381274,230.13081249,1.45112244,21.77006402,2.06534715,0.58031824,31.08607407,9026.15234375,25.93151488,29.94246126,35.86294117,44.49490169,53.49220169,55.25653294,56.68861423,64.16586814,88.96695836,67.93841779,0.33101658,0.22093827,0.37255049,1.535E-05,0.9014349,0.26231569,1.00108036,0.42506375,40.22616595,0.03873131,0.43633879,0.73990281,-1.18507745,1.59291032,0.34542327,0.55692431,0.68760377,2.00746599,64
ESO501-3_F378_450px                               ,450,450,4.58615838,0.77781746,-0.00053894,0.01078195,216.50095196,226.50165124,216.70050544,227.5185719,217.3205191,227.15288399,217.55802351,229.30374825,13.31812563,11.17174896,155.02880517,0.00533788,27.09514994,3.34283616,17.48124847,216.80819939,226.70676288,0.0015817,55.21430948,4.91772029,0.81938649,150.9785986,57.82517242,4.24332897,7.41894971,11.56209927,16.54264932,22.51773671,29.43001763,38.51933073,50.90454446,60.89041536,36.41755568,0.83641413,0.4320242,0.96828864,0.00018641,0.14281584,0.00178049,0.9545683,0.66391343,2.84564736,0.00790335,0.76159585,0.59123213,-0.06256799,1.5736818,0.51717319,0.67349269,0.26247512,5.68332037,0
ESO501-3_F395_450px                               ,450,450,4.55477954,0.77781746,-0.00028978,0.01602286,217.50072338,225.50078776,218.12845708,226.01014595,217.33005528,227.16833482,223.31338782,223.83713658,14.41913982,11.51707616,166.38415317,0.00319216,40.34406531,3.64423487,11.46902831,217.04778372,226.51558272,0.00061424,108.31527861,5.8658636,0.76476579,158.65521997,56.75138092,4.52178478,7.8496182,11.73173102,16.13609137,21.49427876,28.04888889,35.18151811,43.6747168,50.69105668,33.74236433,0.74538156,0.37260847,1.0148899,0.00028223,0.1475125,0.00125553,0.96579507,0.69018026,2.39577345,0.00421051,0.80523914,0.56445543,0.13996297,1.60037021,0.64798869,0.76006192,0.24046211,6.88573914,32
ESO501-3_F410_450px                               ,450,450,3.93067893,0.77781746,-0.00242517,0.0402405,216.50125978,226.50013708,217.53140587,226.41098511,217.34704196,227.11707359,219.31493415,228.80241466,13.84081836,12.06002808,154.1143411,0.01729191,33.70505145,3.90671543,8.74664869,216.91806599,226.7145832,0.00974402,43.39276486,4.57305945,0.99600879,154.51591055,265.15881348,3.70814467,6.95850001,10.52722273,14.75322762,19.68139031,26.34292043,32.97928163,42.62113933,54.32762522,42.01326725,0.78710942,0.44096495,0.95949505,0.00015173,0.22760405,0.00465549,0.95891635,0.69093312,2.4611193,0.01243251,0.69462052,0.61067241,-0.22648839,1.56522795,0.59323105,0.61805176,0.71556121,2.64604153,8
ESO501-3_F430_450px                               ,450,450,3.52707802,0.77781746,-0.00175879,0.04292538,216.50131607,226.50107349,217.23549402,227.42890297,217.34708047,227.32137153,217.66684852,226.04458173,15.26376504,12.85814005,146.50538353,0.03282624,28.22681532,3.53808873,10.99979655,216.92966167,226.82516644,0.01280882,48.80321819,4.79723651,0.81505404,146.5685598,400.37158203,4.01961903,7.39557806,11.49093193,16.59018748,22.74537695,29.97338309,40.82431263,53.86422755,68.5855017,42.78297835,0.86232831,0.47933918,0.88815321,0.00010719,0.14331041,0.00513191,0.9451929,0.61797745,2.76550938,0.01450864,0.68932295,0.62538877,-0.43694526,1.57215998,0.51743198,0.56863611,0.49078631,4.67265781,0
ESO501-3_F515_450px                               ,450,450,2.87788269,0.77781746,-0.0013966,0.04341922,216.50096687,226.50061995,217.18132434,226.67055812,217.38181196,227.29784853,216.86316981,227.19708944,16.58824731,13.76795371,150.97856838,0.06721766,31.52730364,4.24571535,3.19154027,216.92885314,226.80778796,0.0530625,36.68205478,4.34386423,0.79757255,149.41290619,978.05688477,3.57755225,6.74042169,10.48706603,15.0865071,20.7914988,27.49179514,36.53657982,48.5829257,65.31159337,42.87557478,0.8577966,0.49710448,0.57233437,4.439E-05,0.12533621,0.00179118,0.91687793,0.36768817,1.63556939,0.02085016,0.55474962,0.6761724,-1.58478053,1.5810906,0.31081312,0.41287273,0.9940268,2.22617714,0
ESO501-3_F660_450px                               ,450,450,3.11106167,0.77781746,0.00108863,0.01377865,216.50084286,226.50053637,216.92529228,226.75551906,217.34504607,227.28775226,215.6623184,227.71479584,17.92010839,14.76858805,150.7440141,0.08064164,31.95329546,4.34155156,1.85765788,216.88251119,226.81776815,0.05886408,38.39019706,4.7075357,0.79625463,150.27060531,1231.0690918,3.54295955,6.70009752,10.52533798,15.20196807,21.05472254,28.30334092,37.70000725,50.96541481,70.08242601,49.57963463,0.88119444,0.5222596,0.25914633,1.119E-05,0.05911747,0.00437584,0.92620022,0.16153732,0.99869626,0.03444168,0.39060535,0.72401756,-1.87531471,1.57262748,0.18153692,0.2501329,0.90340614,0.70312423,0
ESO501-3_F861_450px                               ,450,450,3.21463807,0.77781746,-0.00399604,0.04468415,216.50079019,226.50049093,216.87911132,226.69096063,217.37743621,227.26595757,216.34116155,227.80413469,18.32758694,15.10698446,151.71414723,5.72843168,3.59914277,49.99993368,137.75592376,216.91950622,226.77350904,0.14516435,38.77641079,4.8583472,0.79766495,150.80557513,3074.10888672,3.41878033,6.47466188,10.16546507,14.74420752,20.34750668,27.25892636,36.31210384,48.87979028,67.09822783,47.58110752,0.87791224,0.51819985,0.29807616,1.453E-05,0.06480654,0.00471421,0.90209743,0.18675558,0.89019148,0.03830638,0.42700377,0.71938111,-1.97842064,1.571615,0.18468068,0.27130575,0.93907864,0.90760279,0
ESO501-3_G_450px                                  ,450,450,3.27812027,0.77781746,-0.00250237,0.14059852,216.50106373,226.50065428,217.19309494,226.86924576,217.3645136,227.25449594,216.87797518,228.23297494,17.64191284,14.49423984,150.54681695,0.48949785,27.47650771,3.61079796,3.38034248,216.90836067,226.77965558,0.25281557,39.82443068,4.61507149,0.79850095,150.15928001,5678.02587891,3.69890648,7.10776779,11.14508628,16.15367821,22.37624901,29.94349355,39.87593261,53.75423826,73.32788229,51.85551939,0.87867948,0.51548186,0.46470272,2.476E-05,0.13812852,0.00390433,0.92925805,0.32693462,1.51202942,0.02820093,0.47143752,0.7038215,-1.79194434,1.57385334,0.26924226,0.33445421,1.03987778,1.94099179,0
