ObjID,Name,RA,dec,Cluster,Selection,Field,r-band,JClass
84,ESO358-66,03:47:52.66,-36:28:18.07,Fornax,Control,splus-s28s35,14.918,0
85,ESO359-2,03:50:36.723,-35:54:33.51,Fornax,Control,splus-s28s36,13.819,0
112,IC1919,03:26:02.213,-32:53:40.326,Fornax,Control,splus-s25s33,13.133,0
113,IC1963,03:35:31.029,-34:26:49.5,Fornax,Control,splus-s27s34,12.074,0
115,LEDA13449,03:39:13.42,-35:22:15.7,Fornax,Control,splus-s27s34,15.124,0
116,LEDA13452,03:39:19.60,-35:43:29.0,Fornax,Control,splus-s28s34,15.464,0
117,LEDA13749,03:44:59.95,-36:19:11.9,Fornax,Control,splus-s28s35,15.815,0
118,LEDA13839,03:47:08.17,-36:19:39.1,Fornax,Control,splus-s28s35,15.943,0
120,LEDA74521,03:28:51.97,-33:50:45.3,Fornax,Control,splus-s26s33,15.884,0
121,LEDA74617,03:30:46.21,-35:32:57.9,Fornax,Control,splus-s27s33,15.588,0
122,LEDA74618,03:30:46.6,-35:21:17,Fornax,Control,splus-s27s33,15.079,0
123,LEDA74792,03:37:34.010,-35:49:45.16,Fornax,Control,splus-s28s34,15.209,0
124,LEDA74873,03:40:27.020,-36:29:56.04,Fornax,Control,splus-s28s34,15.902,0
125,LEDA74896,03:40:55.34,-37:50:16.8,Fornax,Control,splus-s29s34,15.782,0
126,LEDA74983,03:45:33.76,-37:04:59.6,Fornax,Control,splus-s29s34,15.458,0
129,MCG-06-08-024,03:31:08.256,-36:17:24.40,Fornax,Control,splus-s28s33,14.254,0
130,MCG-06-08-025,03:31:24.82,-35:19:51.50,Fornax,Control,splus-s27s33,14.075,0
131,MCG-06-08-027,03:34:29.474,-35:32:47.03,Fornax,Control,splus-s27s34,14.122,0
132,MCG-06-09-008,03:36:54.31,-35:22:29.0,Fornax,Control,splus-s27s34,14.031,0
147,NGC1326,03:23:56.397,-36:27:52.78,Fornax,Control,splus-s28s32,12.905,0
148,NGC1336,03:26:32.199,-35:42:48.86,Fornax,Control,splus-s28s32,11.403,0
136,NGC1369_ESO358-34,03:36:45.256,-36:15:22.5,Fornax,Control,splus-s28s34,14.58,0
137,NGC1381,03:36:31.659,-35:17:42.74,Fornax,Control,splus-s27s34,10.152,0
138,NGC1396,03:38:06.566,-35:26:23.63,Fornax,Control,splus-s27s34,10.169,0
139,NGC1399,03:38:29.083,-35:27:02.67,Fornax,Control,splus-s27s34,12.61,0
140,NGC1404,03:38:51.917,-35:35:39.81,Fornax,Control,splus-s28s34,11.296,0
141,NGC1419,03:40:42.120,-37:30:39.0,Fornax,Control,splus-s29s34,12.695,0
142,NGC1427,03:42:19.4447,-35:23:33.19,Fornax,Control,splus-s27s35,12.24,0
143,NGC1428,03:42:22.9,-35:09:12,Fornax,Control,splus-s27s35,12.677,0
145,LEDA74998,03:47:37.4,-36:21:44,Fornax,Control,splus-s28s35,15.777,0
147,NGC1436,03:43:37.089,-35:51:10.99,Fornax,Control,splus-s28s35,10.849,0
148,NGC1460,03:46:13.751,-36:41:46.71,Fornax,Control,splus-s28s35,12.628,0
149,ESO357-25,03:23:37.277,-35:46:42.17,Fornax,Control,splus-s28s32,14.522,0
151,ESO358-6,03:27:18.048,-34:31:35.15,Fornax,Control,splus-s27s33,13.235,0
152,FCCB729,03:31:32.02,-38:03:45.8,Fornax,Control,splus-s29s32,15.599,0
