ObjID,RA,dec,cluster,selection,band,magnitude
ESO501-22,158.842,-27.6958,Hydra,Sample,R,15.18
ESO501-25,158.854,-26.6578,Hydra,Sample,R,12.81
ESO501-3,157.95,-26.5656,Hydra,Sample,R,12.32
ESO501-35,159.104,-27.0003,Hydra,Sample,R,12.77
ESO501-39,159.212,-26.0414,Hydra,Sample,R,15.5
ESO501-42,159.233,-26.1942,Hydra,Sample,R,12.77
ESO501-45,159.304,-26.6708,Hydra,Sample,R,13.96
ESO501-47,159.321,-27.4686,Hydra,Sample,R,13.17
ESO501-51,159.371,-26.3172,Hydra,Sample,R,11.64
ESO501-53,159.408,-26.2767,Hydra,Sample,R,13.67
ESO501-56,159.437,-26.6308,Hydra,Sample,R,12.50
ESO501-60,159.475,-26.0744,Hydra,Sample,R,15.11
ESO501-63,159.537,-26.0811,Hydra,Sample,R,15.55
ESO501-65,159.637,-27.7367,Hydra,Sample,R,12.98
ESO501-68,159.825,-26.8394,Hydra,Sample,R,13.07
ESO501-7,158.171,-27.5275,Hydra,Sample,R,14.67
ESO501-75,160.246,-27.0881,Hydra,Sample,R,12.29
ESO501-78,160.321,-26.1658,Hydra,Sample,R,14.62
ESO501-8,158.2,-27.5222,Hydra,Sample,R,13.40
ESO501-82,160.796,-26.2497,Hydra,Sample,R,12.99
ESO501-59,159.454,-27.1217,Hydra,Sample,R,13.13
IC2586,157.758,-28.7164,Hydra,Sample,R,12.09
LEDA744203,159.339,-28.2339,Hydra,Sample,X,99.0
LEDA772211,158.006,-26.0428,Hydra,Sample,X,99.0
NGC3309,159.146,-27.5189,Hydra,Sample,R,10.34
NGC3336,160.071,-27.7772,Hydra,Sample,R,11.85
NGC3311,159.179,-27.5281,Hydra,Sample,R,10.0
NGC3285,158.4,-27.4544,Hydra,Sample,R,11.47
NGC3308,159.092,-27.4386,Hydra,Sample,R,11.73
NGC3312,160.475,-27.5636,Hydra,Sample,B,12.63
sn2004gi,159.854,-27.9125,Hydra,Sample,X,99.0
UNKNOWN1,158.571,-26.6969,Hydra,Sample,R,13.56
UNKNOWN2,157.9,-26.4181,Hydra,Sample,X,99.0
UNKNOWN3,161.729,-27.0331,Hydra,Sample,X,99.0
UNKNOWN4,158.525,-28.0417,Hydra,Sample,R,14.88
UNKNOWN5,161.671,-28.0925,Hydra,Sample,X,99.0
NGC1351,52.6458,-34.8567,Fornax,Sample,R,10.85
2MASXJ03152575-3131130,48.8542,-31.5203,Fornax,Sample,B,15.99
ESO358-21_NGC1373,53.7467,-35.1712,Fornax,Control,r,12.85
ESO358-23_NGC1374,53.8192,-35.2263,Fornax,Control,R,10.59
ESO358-24_NGC1375,53.82,-35.2657,Fornax,Control,R,11.74
ESO358-27_NGC1379,54.0164,-35.4412,Fornax,Control,R,10.60
ESO358-28_NGC1380,54.115,-34.9763,Fornax,Control,R,9.37
ESO358-35_NGC1386,54.1927,-35.9993,Fornax,Control,R,10.76
ESO358-37_NGC1382,54.2873,-35.195,Fornax,Control,R,12.31
ESO358-10,52.4292,-33.5561,Fornax,Sample,R,13.61
ESO358-25,53.8833,-32.4658,Fornax,Sample,B,13.90
ESO358-51,55.3833,-34.8886,Fornax,Sample,R,13.02
ESO358-9,52.2042,-35.1797,Fornax,Sample,R,12.92
IC1993,56.7667,-33.7111,Fornax,Sample,R,11.16
IC2006,58.6167,-35.9672,Fornax,Sample,R,10.94
NGC1369_ESO358-34,54.1886,-36.2563,Fornax,Control,R,12.30
NGC1316,50.6708,-37.2075,Fornax,Sample,R,7.66
NGC1317,50.6833,-37.1053,Fornax,Sample,R,10.22
NGC1350,52.7792,-33.6306,Fornax,Sample,R,9.77
NGC1366,53.4708,-31.195,Fornax,Sample,R,11.49
NGC1387,54.2375,-35.5072,Fornax,Sample,R,10.16
NGC1389,54.2958,-35.7461,Fornax,Sample,R,10.99
UNKNOWN9,55.7542,-36.2714,Fornax,Sample,X,99.0
2MASXJ10280313-3526317,157.012,-35.4422,Antlia,Sample,B,15.2
2MASXJ10292838-3440214,157.367,-34.6728,Antlia,Sample,B,16.0
2MASXJ10294837-3525077,157.45,-35.4189,Antlia,Sample,B,15.1
2MASXJ10295128-3509507,157.462,-35.1639,Antlia,Sample,R,14.35
2MASXJ10295304-3522307,157.471,-35.375,Antlia,Sample,B,16.0
2MASXJ10302530-3533483,157.604,-35.5636,Antlia,Sample,B,15.5
2MASXJ10340867-3438013,158.537,-34.6339,Antlia,Sample,R,14.30
2MASXJ10344507-3528144,158.687,-35.4708,Antlia,Sample,R,14.97
6dFGSgJ103639.3-34452,159.162,-34.7564,Antlia,Sample,R,14.51
ESO375-26,156.758,-36.2294,Antlia,Sample,R,13.15
ESO375-41,157.375,-35.2597,Antlia,Sample,R,13.27
ESO375-59,157.992,-35.1986,Antlia,Sample,R,12.86
ESO375-60,158.104,-34.9983,Antlia,Sample,R,14.01
ESO375-61,158.117,-36.5339,Antlia,Sample,R,15.0
ESO375-62,158.204,-34.3994,Antlia,Sample,R,13.19
ESO375-64,158.5,-35.2818,Antlia,Sample,R,13.37
ESO375-68,158.579,-34.4031,Antlia,Sample,R,13.19
ESO375-70,158.967,-34.27,Antlia,Sample,R,14.16
ESO375-28,156.833,-35.2742,Antlia,Sample,R,13.71
ESO375-53,157.85,-35.2208,Antlia,Sample,R,13.30
ESO375-57,157.987,-34.9897,Antlia,Sample,R,13.65
ESO375-63,157.9,-26.4181,Antlia,Sample,B,14.30
IC2573,155.875,-35.4556,Antlia,Sample,R,14.37
IC2584,157.467,-34.9111,Antlia,Sample,R,12.28
LEDA662179,157.242,-34.4383,Antlia,Sample,X,99.0
LEDA83062,157.404,-35.0103,Antlia,Sample,B,17.1
LEDA83102,157.525,-36.1067,Antlia,Sample,B,15.2
LEDA83120,157.587,-35.5925,Antlia,Sample,B,16.1
LEDA83155,157.729,-34.8903,Antlia,Sample,B,17.0
LEDA83201,157.954,-35.2044,Antlia,Sample,B,15.5
MCG-06-23-034,157.296,-35.6875,Antlia,Sample,B,15.0
MCG-06-23-043,157.608,-35.1083,Antlia,Sample,R,14.08
NGC3249,156.592,-34.9639,Antlia,Sample,R,12.54
NGC3258,157.221,-35.6053,Antlia,Sample,R,10.86
NGC3269,157.483,-35.2236,Antlia,Sample,R,11.73
NGC3281,157.967,-34.8547,Antlia,Sample,R,11.17
NGC3289,158.525,-35.3242,Antlia,Sample,R,12.35
UNKNOWN6,157.362,-34.6922,Antlia,Sample,B,16.0
UNKNOWN7,157.521,-35.6539,Antlia,Sample,X,99.
UNKNOWN8,158.642,-36.3458,Antlia,Sample,B,17.1
