,# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,JClass
239,ESO375-60_R_450px                                 ,450,450,3.04681034,0.77781746,-0.00146498,0.04155324,226.50090843,230.50068208,227.33641405,231.43306247,218.00894204,235.61496928,221.88915601,232.35637666,15.07760637,8.52914929,109.10325467,0.62720764,26.96995402,0.93189789,29.72776521,230.00000216,236.00000026,0.08648101,27.46346441,4.62242562,0.84634657,117.47936548,3915.38769531,7.38363612,10.78711704,17.07562349,22.23790087,28.5794288,33.24738927,42.66313452,56.17384586,71.72780187,55.78592387,0.71662877,0.39963398,0.1902351,1.06E-05,0.948692,0.28243849,0.99989824,0.49064714,2.24422131,0.16462534,0.22642903,0.87651722,-0.13292096,1.6004726,0.45280893,0.01287753,0.99488599,2.90424182,0,0
249,ESO375-63_R_450px                                 ,450,450,2.90054396,0.77781746,-0.01226579,0.11869574,225.50095087,230.50086476,223.16014883,228.94133822,211.50340778,238.91233049,220.30901242,223.65867287,12.16820563,4.27793836,52.0840992,0.90860844,8.94783723,0.49999992,1034950.76091454,220.31933624,224.79548835,0.00232096,141.66264078,16.49926902,0.53093175,41.44291139,492.31436157,5.62905718,7.64189935,11.06974578,16.2625663,20.64848885,22.51895924,35.08509438,38.88345094,40.01666257,23.95062262,0.70656349,0.28735259,0.57907162,0.00024075,0.54399862,0.0288768,1.00064226,0.61530945,11.74389022,0.00808948,0.58165918,0.72851263,-inf,1.59909786,0.38001362,0.53857494,-0.74420715,6.33627103,96,0
258,ESO375-64_R_450px                                 ,450,450,3.04681034,0.77781746,0.01311336,0.04561089,214.50036877,215.50100976,211.7046019,217.68365412,208.87595609,218.52005793,208.37908623,218.80253768,10.08382438,7.24296341,138.00584616,0.37504096,36.71177035,1.81300416,14.61187514,208.86631183,220.48602219,0.21118711,51.82819746,2.6801935,0.63406672,102.14190782,6824.79736328,10.30297678,17.2793182,26.45261705,37.5686047,42.74458084,44.97941015,55.64872253,73.45480793,107.53703605,67.9150218,0.62849363,0.400677,0.22405348,6.68E-06,0.59466739,0.08076613,0.99734667,0.18584567,5.22250387,0.05048896,0.26547306,0.72913037,-0.17414362,1.58011705,0.33500162,0.05941396,-0.22332072,2.9551498,0,0
268,ESO436-34_R_450px                                 ,450,450,3.67883693,0.77781746,0.00127745,0.09585418,211.50145813,225.50092066,226.14329973,229.92988817,252.81099227,231.92606093,213.43865345,224.62456239,38.41578559,23.74238219,166.87475815,1.20095152,33.12227971,0.49999632,6202.41897506,212.26976734,227.05456235,0.35313095,80.2388196,3.60416133,0.25546908,150.23638775,10972.24707031,15.61436488,20.65533162,28.85899289,37.57001169,47.74797523,56.65631735,62.39770926,76.80764084,107.09683688,74.67203813,0.57037225,0.35082168,0.16875021,8.73E-06,0.83124979,0.45380455,0.99666718,0.12392725,20.48562667,0.1108534,0.31853908,0.67819957,-1.85727255,1.57961232,0.58188983,0.47976386,0.39189968,3.09608502,64,0
279,ESO436-46_R_450px                                 ,450,450,3.34190898,0.77781746,0.00282536,0.85172224,237.50001881,259.50212019,236.62801072,256.62382598,237.91992616,261.35040319,240.84377902,261.28438107,18.5308599,13.45014823,70.35572645,618.53354662,3.0102365,0.91810896,91.09290427,237.44438711,260.80462626,1693.05969646,4.1841539,0.33121865,0.31153587,87.89652087,71888.5703125,1.58184741,2.4784927,3.31023319,4.33650984,5.19803667,5.83490985,6.6348978,7.66368213,8.82096488,6.42310737,0.49024984,0.22967675,0.00014976,1.175E-05,0.21777115,0.06812284,0.12799814,0.25347898,46.82292283,0.01722426,0.16222921,0.68946153,-0.71622531,1.57187668,0.07296051,0.68499655,0.51161156,0.92955632,64,0
286,ESO437-11_R_450px                                 ,450,450,3.34190898,0.77781746,-0.0021192,0.0586509,225,225,171.88913673,172.38497127,171.48791851,161.15450525,176.75131925,181.40114803,68.91913819,37.8107002,57.91432508,0.1405524,10.99999925,0.7596401,15.15089633,227.12162645,225.1488167,2.36731588,12.74894001,3.54781176,1.00097347,150.69020494,128.7660675,4.35479189,5.1700944,5.59524657,6.02715618,6.63157751,7.22018822,7.74372779,9.26408532,10.74391008,6.65542044,0.25330407,0.20954552,0.00771947,0.00042424,0.94457643,0.10261489,0.99049053,0.75753285,1123.29969163,0.00067276,0.21350742,0.47324981,-inf,1.57051691,0.00923424,0.64310419,-0.15547593,0.62395534,64,0
295,ESO437-13_R_450px                                 ,450,450,3.34190898,0.77781746,-0.00415659,0.05870307,225,225,252.8645271,158.32239442,244.40628396,166.95212552,249.40075172,169.69575513,68.89674576,37.79428459,57.90466937,0.13895846,10.99999928,0.83389541,18.68689022,225.34333979,225.723033,1.68944662,20.33665763,4.16676348,0.57488015,100.93038352,128.84637451,4.33305297,5.1746018,5.60685771,5.9912933,6.39505363,6.86612135,7.55582682,9.19547241,10.73910006,6.67746942,0.24969711,0.2251237,0.00538255,0.0004199,0.93065195,0.08737551,0.99039102,0.08486534,1082.23220568,0.00070195,0.23831511,0.43204848,-inf,1.57135234,0.01562304,0.70331617,-0.11989561,1.57224144,96,0
303,ESO437-17_R_450px                                 ,450,450,3.34190898,0.77781746,-0.00210274,0.05873192,233.50014399,229.5011241,236.76644633,236.93691429,232.62836274,227.60138087,234.16469651,229.2748268,25.15867686,8.5800611,58.91347291,1.60885325,23.54871949,0.5642044,967.48950431,231.9999888,226.9999879,0.84021077,33.1489205,2.13065488,0.24642233,48.79504049,4014.87792969,10.83162126,14.93731815,20.09281217,26.31276306,33.22917698,41.7000491,47.10475377,49.14379081,58.32767356,57.38717987,0.51719602,0.24435507,0.14486459,1.462E-05,0.46390614,0.01002146,1.00024785,0.10313165,14.15221687,0.00934881,0.24361761,0.75787344,-inf,1.56035649,0.22354624,0.47406035,0.68467274,2.36176757,64,0
315,ESO437-9_R_450px                                  ,450,450,3.34190898,0.77781746,-0.00288002,0.05685766,233.5014411,222.50077333,234.38855308,222.65570152,234.52105632,223.47810527,235.03014296,222.26911062,15.92763221,8.85584667,107.54090686,1.32925013,20.25689407,2.71243787,9.97238731,234.00000061,222.99999811,0.93250731,25.31583866,2.96961964,0.51055128,107.78608408,4554.93359375,2.91377855,5.47135015,8.29296173,11.17443342,14.43319651,18.27836294,23.42121512,30.20781186,40.41399867,34.45157292,0.74202476,0.4471693,0.09602932,1.248E-05,0.05485613,0.00511168,0.91897767,0.03823572,2.61392697,0.0213238,0.33100405,0.75942513,-1.06819816,1.57123405,0.17034486,0.34396773,0.47719465,0.91682766,0,0
327,ESO501-10_R_450px                                 ,450,450,2.90054396,0.77781746,-0.03152723,0.12050723,234.50206362,226.50008479,235.5452818,227.88598013,235.96374312,226.84099225,236.08436135,227.28199289,25.78648951,8.11215138,79.74241863,2.25783086,21.73939809,1.04252719,16.51951465,235.47541262,226.17815339,2.79885084,30.27257411,1.09269343,0.14001381,81.02106798,4646.28759766,6.19222862,9.85099111,13.73167984,17.62601278,22.34491965,27.6593216,34.09833817,42.88902296,56.42552539,50.78285886,0.63886623,0.40229681,0.12308623,2.593E-05,0.05261921,0.00793039,0.80499222,0.0344763,3.41581762,0.07681307,0.3778874,0.6762118,-1.04349309,1.57380454,0.15758441,0.67269685,0.37349199,1.75067933,0,0
